id,slot,title,url,speakers,start_utc,end_utc,type,language,abstract
238535,B7P,"Performance tuning and best practices in a Knative based, large-scale serverless platform with Istio","/sessions/performance-tuning-and-best-practices-in-a-knative-based,-large-scale-serverless-platform-with-istio",Gong Zhang,2021-02-23T04:40:00.000Z,2021-02-23T05:20:00.000Z,presentation,chinese,"Istio is the default networking layer solution of Knative and it is leveraged for routing, traffic splitting, security and so on. We're now building a large-scale, multi-tenant serverless platform on top of Knative and Istio. While building it, one of the main questions was how to tune Istio together with Knative so it can unleash the maximum scalability and performance. 

In this session, we will share how we detected performance bottlenecks using difficult but fruitful analysis processes, tuned and optimized Istio and our platform, and eventually reduced over 90% latency in Knative service provision scenario. Also we'll share our best-practices about how to fully leverage rich functionalities provided by Istio itself to improve performance in Knative platform, such as namespace isolation, CNI replacement, mTLS without sidecar, tunings and so on."
238496,C1S,Going dynamic with Envoy at Atlassian,/sessions/going-dynamic-with-envoy-at-atlassian,Nicolas Meessen,2021-02-23T16:00:00.000Z,2021-02-23T16:25:00.000Z,user spotlight (featured),english,"Atlassian has been deploying Envoy to the compute nodes of its internal PaaS over the past 2 years to simplify service-to-service communication for internal developers. Today we deploy Envoy with static configuration and we want to take advantage of dynamic features like client-side routing, direct communication, and fault injection. We decided Istio was the best choice to deliver this over the next year. We’ll talk through Atlassian’s journey with service-to-service communication, Envoy and the evolution of our home-grown control planes, then walk through the analysis that led to Istio being the best decision for Atlassian’s business moving forward."
236817,C2S,"The good, the bad, and the meshy: a journey adopting Istio across 100 clusters at T-Mobile","/sessions/the-good,-the-bad,-and-the-meshy:-a-journey-adopting-istio-across-100-clusters-at-t-mobile",Joe Searcy,2021-02-23T16:25:00.000Z,2021-02-23T16:50:00.000Z,user spotlight (featured),english,"This is a story of struggle, tradeoffs, and triumphs. Istio, as you may know, is a mission-critical piece of software for securing and connecting microservices across platforms. However, it can be daunting to introduce, operationalize, or adopt it successfully. 

In this talk, we dig into T-Mobile’s journey of adopting Istio across 100+ clusters to support microservices for fraud detection, billing, sales and APIs across many teams. The journey was not all rainbows and unicorns. We cover things such as tenancy, install/upgrade, feature adoption, CI/CD integration, and architecture tradeoffs. We see first-hand lessons learned around:

The importance of iteration
Structured boundary and isolation 
Approaches to multi-cluster
Stateful workloads in Istio
Team processes

Attendees of this talk will leave with a better understanding of how a large organization runs Istio to secure, and observe microservices in a large-scale deployment with all of its pros and cons."
238406,C3P,Getting Started and Beyond: Istio Multicluster with GitOps,/sessions/getting-started-and-beyond:-istio-multicluster-with-gitops,Ryota Sawada,2021-02-23T17:00:00.000Z,2021-02-23T17:40:00.000Z,presentation,english,"Istio documentation covers many scenarios how you can start up Istio and get your hands dirty with its offerings. Things become a bit more tricky when it involves multiple clusters, and even more complicated when there are other Open Source projects you need to deal with.

The presentation will be mainly driven by demos. The first demo will be based on simply starting multiple KinD clusters locally, and get Istio offerings in action.

The second demo will be based on GitOps setup with the similar multiple local clusters. This will involve some UI examples to showcase Istio offerings similar to bookinfo example, and backed by GitOps.

Lastly, there will be a short demo with multicloud + multicluster + GitOps setup, which gives the sense of how you can get production ready multicluster setup with Istio.

All the demo steps are documented in GitHub repo, and every step for each demo is curated to get the clusters up and running from scratch."
238515,C4P,Developing & Debugging WebAssembly Filters,/sessions/developing-&-debugging-webassembly-filters,"Idit Levine, Scott Weiss",2021-02-23T17:40:00.000Z,2021-02-23T18:20:00.000Z,presentation,english,"WebAssembly filters allow users the power to extend and customize Istio to their liking. But how do organizations actually develop them? Tooling exists for traditional software development, but established methods and tooling are difficult to come by in the emerging WebAssembly ecosystem. In this talk we will attempt to answer the following, based on our experience working Istio + WebAssembly in customer environments for over one year:
How do we write WebAssembly filters?
How do we test WebAssembly filters?
How do we debug WebAssembly filters?
How do we ship WebAssembly filters?
We will explore existing tooling and solutions for working with WebAssembly in the service mesh, and provide insight into the development processes being implemented by early adopters of WebAssembly.
"
235956,C5A,Large scale data ingestion using Istio/Envoy,/sessions/large-scale-data-ingestion-using-istio/envoy,Animesh Chaturvedi,2021-02-23T18:20:00.000Z,2021-02-23T18:45:00.000Z,adoption story,english,This talk will share the experience of building a data lake using Istio / Envoy.  This talk will cover why we selected Istio for building a data lake in early 2019. Our journey with Istio and go in depth the challenges we ran into scaling the ingestion pipeline to scale to process several hundred tera bytes a day.
238514,C8P,Extending Envoy with WASM from start to finish,/sessions/extending-envoy-with-wasm-from-start-to-finish,Ed Snible,2021-02-23T21:00:00.000Z,2021-02-23T21:40:00.000Z,presentation,english,"This talk is for every engineer interested in creating traffic management and telemetry capabilities for the mesh itself.

Istio has offered extensibility through WebAssembly since 1.5. User code, running in the sidecar, can implement custom traffic management and telemetry. No Istio control plane access or special builds of the sidecar are needed. C++ and JavaScript developers can write, compile, deploy and test extensions quickly, with just a bit of Istio EnvoyFilter YAML on their clusters.

Yet developers I’ve talked to are not having success getting started.  Others start but get stuck factoring their idea into a framework of HTTP protocol callbacks. Even a good design is not enough—troubleshooting extensions is difficult and some developers give up in frustration.

We’ll demystify the difference between Istio’s EnvoyFilter resource and Envoy’s HTTP filter chain.  Attends will learn the framework, code delivery, and troubleshooting using as few new concepts as possible."
234362,C9T1,Local Istio Development,/sessions/local-istio-development,John Howard,2021-02-23T21:40:00.000Z,2021-02-23T21:50:00.000Z,lightning talk,english,"This talk will walk through how to run Istio locally to improve development velocity, where ""local"" includes various combinations of local Kubernetes cluster, local docker registry, running Istiod as a local binary (and in a debugger), and running the proxy locally."
233276,C9T2,How all devs use Istio Security without knowing Istio,/sessions/how-all-devs-use-istio-security-without-knowing-istio,Isan Rivkin,2021-02-23T21:50:00.000Z,2021-02-23T22:00:00.000Z,lightning talk,english,"At SimilarWeb we use Istio in all of our Kubernetes clusters and utilize Istio's Authorization and Authentication policies for each service. 
As a small production engineering team, we wanted to let our developer's full autonomy for writing new services with Helm without needing to know Istio internals. 
To solve that problem we abstracted Istio completely inside a generic Helm chart for common use cases. For more complex cases create a MutatingWebhook in k8s that reads annotations from the deployments and configures the deployment to support all Istio related logic. "
235424,C9T3,How Istio helped us investigate failures on our microservices,/sessions/how-istio-helped-us-investigate-failures-on-our-microservices,Shota Shirayama,2021-02-23T22:00:00.000Z,2021-02-23T22:10:00.000Z,lightning talk,english,"We introduced Istio on our microservices. Istio’s logs, metrics and features are very helpful for us to investigate in detail in case of failures.
One day we had big trouble due to a node failure, and it was very hard to find the root cause about why our application had not been recovered automatically. At that time, we finally found the root cause of it on our application logic thanks to Istio and we could reproduce the same failure on development environment with Istio as well. I’d like to share this story."
238520,C9T4,Simple Certificate Management (pilot-agent environmental variables),/sessions/simple-certificate-management-(pilot-agent-environmental-variables),Jacob Delgado,2021-02-23T22:10:00.000Z,2021-02-23T22:20:00.000Z,lightning talk,english,"There are numerous environmental variables that can be used to control the behavior of Istio. Environmental variables in Istio are considered experimental and there are no guarantees they won’t be removed in future versions of Istio.

In this talk, we will explore a few related to certificates used for inter-workload communication within your service mesh:
* Some of the pilot-agent environmental variables related to certificates
* How to toggle them during installation using istioctl and helm"
233986,CW,Istio Multicluster Workshop,/sessions/istio-multicluster-workshop,"Denis Jannot, Christian Posta",2021-02-23T18:30:00.000Z,2021-02-23T21:00:00.000Z,workshop,english,"This workshop is based on Istio and Gloo Mesh (https://github.com/solo-io/gloo-mesh).

It's a hands-on workshop where each participant has a dedicated VM.

In the VM, they deploy 3 Kubernetes clusters using Kind.
One cluster is a management plane where Gloo Mesh is deployes, while Istio is deployed in the 2 other clusters.

Then, they federate the identity of the Istio clusters, configure cross cluster communications, failover, play with WASM, ...

And before each lab, we go through some slides. For example, before the identity federation, we explain them what is SPIFFE, how it's used in Istio, ...

The labs are publicly available:
https://github.com/solo-io/workshops/tree/master/gloo-mesh
"
K2,D1K,Istio Project Roadmap,/sessions/istio-project-roadmap,"Neeraj Poddar, Louis Ryan",2021-02-24T16:00:00.000Z,2021-02-24T16:50:00.000Z,keynote,english,#N/A
238507,D3P,Taming Istio Configuration with Helm,/sessions/taming-istio-configuration-with-helm,Ryan Michela,2021-02-24T17:00:00.000Z,2021-02-24T17:40:00.000Z,presentation,english,"Helm. It’s not just for installation anymore! 

In this session, we re-introduce Helm as a powerful tool for automating Istio day-two administrative tasks. Using Helm, we can completely rethink Istio management by creating a domain specific language for Istio configuration.  Helm lets us build a simplified facade over Istio, allowing developers to more naturally express their intentions as code instead of forcing them to think in Istio CRDs.

In this session we will look at four common Istio configuration patterns, and explore how Helm dramatically simplifies their use. We will deep dive into Helm itself, teaching you how to write Helm charts perfectly tailored to your Istio developer’s needs. Finally, we’ll look at Helm gitops automation, to securely and reliably manage Istio configuration from commit to production. You will leave this session with everything you need to confidently tame Istio using Helm."
237659,D4P,Know your peers,/sessions/know-your-peers,Alex Van Boxel,2021-02-24T17:40:00.000Z,2021-02-24T18:20:00.000Z,presentation,english,"It’s lonely in your pod, but finally, you receive that long-awaited knock on the port... but can you trust that inbound request? This session dives into an essential aspect of a service mesh, trust. We’ll dive into how certificates work into Istio, use peer authentication, and explain concepts like SPIFFE identifiers. 
Peer thrust can also be leveraged in the application architecture.

A mesh is not only for cluster administrators but also for architects and developers, making it well worth to highlight those patterns."
238411,D5A,Sberbank Story: moving Istio from PoC to production,/sessions/sberbank-story:-moving-istio-from-poc-to-production,Igor Gustomyasov,2021-02-24T18:20:00.000Z,2021-02-24T18:45:00.000Z,adoption story,english,"50+ On-Premise Kubernetes Clusters in a Private Cloud, 500+ Compute Nodes, 10+ Istio Meshes, and 2 years of joint efforts with IBM.  This is Sberbank's journey from the technology preview stage to a production-grade Istio mesh installation. Joint speech from IBM and Sberbank representatives will cover the history of their collaboration in detail: key faced problems and solutions, main architectural decisions, and plans for the future."
238416,D8P,Deep Dive into Istio Auth Policies,/sessions/deep-dive-into-istio-auth-policies,Lawrence Gadban,2021-02-24T21:00:00.000Z,2021-02-24T21:40:00.000Z,presentation,english,"One of the primary benefits of using Istio is its comprehensive security model, which enables users to express complex authentication and authorization policies for the services running within their mesh. While these security features are commonly used, they can cause confusion and are frequently misunderstood.

This talk will explore the security mechanisms available in Istio and will dive into how these policies are translated from high-level user-facing configuration to runtime policies in the various Envoy proxies that comprise the Istio data plane.

Specifically, we will look at the following:
* Mutual TLS and how to configure peer authentication through PeerAuthentication and DestinationRule resources
* Enforcing end-user authentication via JWTs with RequestAuthentication resources
* Enforcing authorization rules through AuthorizationPolicy resources

Attendees will leave with a clear picture of how Istio’s various auth policies are implemented in the data plane."
238228,D9T1,5 tips for your first Istio.io contribution,/sessions/5-tips-for-your-first-istio.io-contribution,Albert Sun,2021-02-24T21:40:00.000Z,2021-02-24T21:50:00.000Z,lightning talk,english,"A first commit to Istio.io can be daunting and there is a large amount of learning and commitment required to contribute to Istio.io. By presenting my experiences, I want to encourage both people familiar and unfamiliar to Istio, to contribute. I also hope to give some insight on the PR process for contributing to Istio.io, and show some relatively easy first commit examples. I found a home in the Docs WG, and I hope to help introduce others to this community by helping with their first commit. 
"
237457,D9T2,Your laptop as part of the service mesh,/sessions/your-laptop-as-part-of-the-service-mesh,Lorenzo Fundaró,2021-02-24T21:50:00.000Z,2021-02-24T22:00:00.000Z,lightning talk,english,"In this talk, we will show how we used Istio’s EnvoyFilter to dynamically route requests from our QA cluster to a developer's laptop and back. This networking hack significantly eased development, especially when running end-to-end tests and helped us reduce infrastructure costs."
235867,D9T3,Kubernetes Operator to manage rate limit istio configurations,/sessions/kubernetes-operator-to-manage-rate-limit-istio-configurations,Santiago Núñez-Cacho,2021-02-24T22:00:00.000Z,2021-02-24T22:10:00.000Z,lightning talk,english,"Wouldn't be great to have an easy way to dynamically, via istio, limit the traffic to a service in kubernetes?

Figure out you have one or more ingress gateways for the incoming requests, and you want to limit the requests from a single IP, or to limit requests with an specific http header in an specific amount of time. 

With this operator you just have to create and deploy a simple Custom Resource ( CR )  with your desired rate limit configuration. 

The operator, from this CR, will create the necessary istio objects to use the http level rate limit filter. 

"
238413,D9T4,Prepping the sails for a ship-shape Istio Release,/sessions/prepping-the-sails-for-a-ship-shape-istio-release,"Eric Van Norman, Brian Avery",2021-02-24T22:10:00.000Z,2021-02-24T22:20:00.000Z,lightning talk,english,"Another Istio release is out!  You may be nervous, but we have been continuously improving our release qualification process to hopefully ease your concerns. In 2020, we collected feedback and used it to focus on producing higher quality and more consistent releases. We created a Definition of Done to determine what it means for releases and features to be considered stable. This has led to release notes tooling, standardized feature maturity levels and release gates. We also created a new Upgrade Workgroup to improve the stability, user experience, and test infrastructure around Istio upgrades. This talk will explore what each of these new additions means for you as a user and whether you can trust that new release or feature in your production environment. We’ll be sure to leave some time for feedback. We’d love to know how these changes are or are not addressing your concerns as well as other improvements you would like to see."
e1k,E1K,Istio Project Roadmap (replay),/sessions/istio-project-roadmap-(replay),"Neeraj Poddar, Louis Ryan",2021-02-25T01:00:00.000Z,2021-02-25T01:50:00.000Z,,subtitled,#N/A
235137,E3P,Federated Access Point - eBay统一流量管理方案,/sessions/federated-access-point---ebay统一流量管理方案,Jesse Meng,2021-02-25T02:00:00.000Z,2021-02-25T02:40:00.000Z,presentation,chinese,"eBay拥有上百个Kubernetes集群，承载数千个不同通络拓扑的微服务应用。部署跨地域的高可用应用，并做精细化流量管理和日常运维，是互联网公司面临的日渐严峻的挑战。
本演讲会展示eBay如何基于Isito的统一的流量管理模型，基于集群联邦，完成跨地域，跨集群的南北和东西流量统一管理。包括智能DNS，四层和七层负载均衡配置，流量变更的灰度发布，智能化流量再平衡策略等。"
238301,E4P,Is Your Virtual Machine Really Ready-to-go with Istio?,/sessions/is-your-virtual-machine-really-ready-to-go-with-istio?,"Kailun Qin, Haoyuan Ge",2021-02-25T02:40:00.000Z,2021-02-25T03:20:00.000Z,presentation,chinese,"Using Kubernetes and containers is the easiest and most practical way to run Istio. However, both academic and industry surveys show that massive organizations and users are still deploying their workloads in VMs to fulfill their needs like security, multi-tenancy, fitting into the existing processes and hybrid multi-clouds. To include those workloads outside of K8s, Istio has introduced VM support since 1.6.
In this talk, we will:
- Go through the real use cases and tumultuous odyssey of Istio’s VM integration;
- Summarize the key VM mesh features, designs and tradeoffs introduced, e.g. WorkloadGroup, Smart DNS proxy and VM security incl. (auto) identity bootstrapping and cert provisioning etc.;
- Analyze the limitations of the current VM workflow, with a focus on usability and security;
- Benchmark against the performance of VM/hybrid usage and explore the bottlenecks;
- Look into the intersections with HW acceleration technologies, such as SR-IOV, SmartNIC etc. for VM mesh."
237701,E5P,How Is Apache SkyWalking Powering Istio Observability,/sessions/how-is-apache-skywalking-powering-istio-observability,Sheng Wu,2021-02-25T03:20:00.000Z,2021-02-25T04:00:00.000Z,presentation,chinese,"Istio provides a default observability solution through telemetry v2, which improves a lot than the Mixer v1 solution.
Apache SkyWalking, as a widely adopted and powerful open-source APM project. It provides all tracing, metrics, and logging out of the box. For the Istio ecosystem, it provides full observability for k8s and VM environments and covers both the Data Panel and Control Panel. In this session, we are going to introduce how we do this, what is more, we bring to the end-users through these."
236206,E6P,Extending service mesh capabilities using a streamlined way based on WASM and ORAS,/sessions/extending-service-mesh-capabilities-using-a-streamlined-way-based-on-wasm-and-oras,Xi Ning Wang,2021-02-25T04:00:00.000Z,2021-02-25T04:40:00.000Z,presentation,chinese,"With the introduction of WebAssembly (for short,WASM) support, you can extend the data plane's functionality by writing custom Filters for out-of-process Envoy proxy in service mesh. But it's not easy to build, deploy and run WASM filters within service mesh. ORAS  is a proposed implementation for the OCI Artifacts project, which aims to extend the OCI registry specification and simplify storing arbitrary content in OCI registries.  
In this topic, we will present how to use ORAS client to push the WASM modules with the allowed media types into ACR registry, and then deploy the WASM filter into all the pods corresponding to the specified workload selection criteria. All the steps in the WASM filter deployment are using a declarative way, meaning that you can create one CRD to describe the WASM filter deployment. Then the WASM module can be loaded into the corresponding Envoy proxy in the data plane layer. Meanwhile, the Istio EnvoyFilter CR is created in the control plane layer."
238512,E7P,Best practice：from Spring Cloud to Istio,/sessions/best-practice：from-spring-cloud-to-istio,chaomeng zhang,2021-02-25T04:40:00.000Z,2021-02-25T05:20:00.000Z,presentation,chinese,"Spring Cloud has been widely used as a micro service framework in the past several years, especially in traditional enterprise cases. Istio, as a leading service mesh solution, is gaining great popularity, and widely used in cloud-native applications. Istio help customer build a highly resilient, secure, observable and scalable microservice architecture by offloading the complexity from application code to a separate infrastructure layer.

In this presentation, inspired by several typical customers’ cloud native solutions, Chaomeng will share a topic of best practice of Spring Cloud and Istio. He will explore the differences and similarities between Spring Cloud and Istio, include mechanism and working scenario, and focus on the integration and transformation solution, which makes Spring Cloud developed application running natively upon Isito without too many code changes, and gracefully offload traffic management from SDK to infrastructure and make SDK a real develop kit."
236198,F1S,Airbnb on Istio,/sessions/airbnb-on-istio,"Weibo He, Stephen Chan",2021-02-25T16:00:00.000Z,2021-02-25T16:25:00.000Z,user spotlight (featured),english,"In this presentation, we will walk through Airbnb’s Istio Journey - why we needed a modern service mesh, how we vetted Istio as the solution, where we are today, the lessons we learnt along the way, and our future plans. We will cover topics including:
- Airbnb’s multicluster/cell setup, problems we ran into/ideas for UX improvements
- Airbnb’s upgrade setup for gradual rollout of newer versions of Istio
- Airbnb’s test pipeline for vetting features we care about
- How we handled k8s & mesh expansion in a consistent philosophy 
- How we approached migration (zero downtime, no regression)
- Airbnb’s learnings/pain points/future expectation with Istio
- Current areas of open discussion - come talk to us more about this
"
240193,F2S,The Salesforce Service Mesh - Our Istio Journey,/sessions/the-salesforce-service-mesh---our-istio-journey,Pratima Nambiar,2021-02-25T16:25:00.000Z,2021-02-25T16:50:00.000Z,user spotlight (featured),english,"Istio and Envoy are foundational building blocks of the Salesforce Service Mesh. This presentation walks you through our service mesh journey. I will briefly talk about why we chose the service mesh design pattern, how we initially built it using envoy and our in-house control plane and our subsequent pivot to Istio. I will discuss how we are currently leveraging Istio and our plan to increase adoption of Istio to further enhance our Service Mesh platform. "
232878,F3P,How to manage any layer-7 traffic in an Istio service mesh?,/sessions/how-to-manage-any-layer-7-traffic-in-an-istio-service-mesh?,"Huabing Zhao, 阳 唐",2021-02-25T17:00:00.000Z,2021-02-25T17:40:00.000Z,presentation,english,"Traffic management is probably the most used feature of Istio. However, handling layer-7 traffic other than HTTP and gRPC can become challenging in an Istio service mesh.  In this session, I'll discuss a few possible approaches to extend Istio's traffic management capability to other layer-7 protocols such as Dubbo, Thrift, TARS, Redis, MySql, MongoDB, etc. I'll introduce Aeraki, an open-source project that provides a framework to allow Istio to support more layer 7 protocols than just HTTP and gRPC. A demo of Thrift and Dubbo traffic version-based routing and percentage-based routing will also be shown in this session.  In the end, l'll discuss some other interesting things we are planning at Aeraki, such as on-demand xDS to the sidecars.

Github: https://github.com/aeraki-framework/aeraki
Live Demo: http://aeraki.zhaohuabing.com:3000/d/pgz7wp-Gz/aeraki-demo?orgId=1&kiosk
Recorded Demo: Dubbo and Thrift Traffic Management https://youtu.be/vrjp-Yg3Leg"
